EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,MZ
1576770650.728179,36215.000,5817,10,MZ,1,100,24
1576770650.728179,36215.000,5817,10,MZ,1,100,26
1576770650.728179,36215.000,5817,10,MZ,1,100,25
1576770650.728179,36215.000,5817,10,MZ,1,100,24
1576770650.728179,36215.000,5817,10,MZ,1,100,25
1576770650.728179,36215.000,5817,10,MZ,1,100,25
1576770650.728179,36215.000,5817,10,MZ,1,100,25
1576770650.728179,36215.000,5817,10,MZ,1,100,26
1576770650.728179,36215.000,5817,10,MZ,1,100,25
1576770650.728179,36215.000,5817,10,MZ,1,100,25
1576770650.769713,36250.000,5835,2,MZ,1,100,26
1576770650.811247,36285.000,5835,2,MZ,1,100,26
1576770650.852386,36319.667,5853,3,MZ,1,100,25
1576770650.893525,36354.333,5853,3,MZ,1,100,25
1576770650.934664,36389.000,5853,3,MZ,1,100,25
1576770650.975011,36423.000,5871,3,MZ,1,100,25
1576770651.015359,36457.000,5871,3,MZ,1,100,24
1576770651.055707,36491.000,5871,3,MZ,1,100,25
1576770651.097637,36526.333,5889,3,MZ,1,100,26
1576770651.139566,36561.667,5889,3,MZ,1,100,26
1576770651.181496,36597.000,5889,3,MZ,1,100,26
1576770651.219471,36629.000,5907,3,MZ,1,100,26
1576770651.257445,36661.000,5907,3,MZ,1,100,25
1576770651.295419,36693.000,5907,3,MZ,1,100,26
1576770651.334185,36725.667,5925,3,MZ,1,100,26
1576770651.372950,36758.333,5925,3,MZ,1,100,26
1576770651.411716,36791.000,5925,3,MZ,1,100,26
1576770651.455228,36827.667,5943,3,MZ,1,100,26
1576770651.498740,36864.333,5943,3,MZ,1,100,25
1576770651.542252,36901.000,5943,3,MZ,1,100,24
1576770651.582995,36935.333,5959,3,MZ,1,100,24
1576770651.623739,36969.667,5959,3,MZ,1,100,25
1576770651.664482,37004.000,5959,3,MZ,1,100,26
1576770651.705621,37038.667,5977,3,MZ,1,100,25
1576770651.746759,37073.333,5977,3,MZ,1,100,26
1576770651.787898,37108.000,5977,3,MZ,1,100,26
1576770651.826663,37140.667,5995,3,MZ,1,100,26
1576770651.865429,37173.333,5995,3,MZ,1,100,26
1576770651.904194,37206.000,5995,3,MZ,1,100,25
1576770651.941773,37237.667,6013,3,MZ,1,100,26
1576770651.979352,37269.333,6013,3,MZ,1,100,25
1576770652.016931,37301.000,6013,3,MZ,1,100,26
1576770652.056883,37334.667,6031,3,MZ,1,100,26
1576770652.096835,37368.333,6031,3,MZ,1,100,25
1576770652.136787,37402.000,6031,3,MZ,1,100,25
1576770652.181486,37439.667,6049,3,MZ,1,100,24
1576770652.226185,37477.333,6049,3,MZ,1,100,25
1576770652.270884,37515.000,6049,3,MZ,1,100,25
1576770652.312022,37549.667,6067,3,MZ,1,100,25
1576770652.353161,37584.333,6067,3,MZ,1,100,24
1576770652.394300,37619.000,6067,3,MZ,1,100,25
1576770652.433856,37652.333,6086,3,MZ,1,100,25
1576770652.473413,37685.667,6086,3,MZ,1,100,25
1576770652.512969,37719.000,6086,3,MZ,1,100,25
1576770652.550548,37750.667,6104,3,MZ,1,100,26
1576770652.588127,37782.333,6104,3,MZ,1,100,26
1576770652.625706,37814.000,6104,3,MZ,1,100,26
1576770652.665658,37847.667,6121,3,MZ,1,100,26
1576770652.705610,37881.333,6121,3,MZ,1,100,24
1576770652.745562,37915.000,6121,3,MZ,1,100,25
1576770652.787096,37950.000,6139,3,MZ,1,100,26
1576770652.828631,37985.000,6139,3,MZ,1,100,26
1576770652.870165,38020.000,6139,3,MZ,1,100,26
1576770652.911106,38054.500,6155,2,MZ,1,100,26
1576770652.952047,38089.000,6155,2,MZ,1,100,24
1576770652.993878,38124.250,6173,4,MZ,1,100,26
1576770653.035709,38159.500,6173,4,MZ,1,100,25
1576770653.077540,38194.750,6173,4,MZ,1,100,26
1576770653.119371,38230.000,6173,4,MZ,1,100,25
1576770653.157741,38262.333,6191,3,MZ,1,100,25
1576770653.196111,38294.667,6191,3,MZ,1,100,25
1576770653.234481,38327.000,6191,3,MZ,1,100,26
1576770653.273642,38360.000,6209,3,MZ,1,100,25
1576770653.312803,38393.000,6209,3,MZ,1,100,25
1576770653.351964,38426.000,6209,3,MZ,1,100,26
1576770653.393102,38460.667,6228,3,MZ,1,100,25
1576770653.434241,38495.333,6228,3,MZ,1,100,25
1576770653.475380,38530.000,6228,3,MZ,1,100,26
1576770653.516519,38564.667,6246,3,MZ,1,100,27
1576770653.557658,38599.333,6246,3,MZ,1,100,26
1576770653.598797,38634.000,6246,3,MZ,1,100,26
1576770653.637958,38667.000,6264,3,MZ,1,100,26
1576770653.677119,38700.000,6264,3,MZ,1,100,25
1576770653.716280,38733.000,6264,3,MZ,1,100,26
1576770653.756232,38766.667,6281,3,MZ,1,100,26
1576770653.796184,38800.333,6281,3,MZ,1,100,25
1576770653.836136,38834.000,6281,3,MZ,1,100,26
1576770653.874110,38866.000,6299,3,MZ,1,100,25
1576770653.912084,38898.000,6299,3,MZ,1,100,26
1576770653.950058,38930.000,6299,3,MZ,1,100,25
1576770653.991197,38964.667,6317,3,MZ,1,100,26
1576770654.032336,38999.333,6317,3,MZ,1,100,25
1576770654.073475,39034.000,6317,3,MZ,1,100,26
